,Verfasser,decade,Empfänger,counts
376,"Salm, Constance de",1830.0,"Bouilly, Monsieur",1
377,"Salm, Constance de",1820.0,"Richard, Carl (Major in Aachen)",1
378,"Salm, Constance de",1820.0,"Sauvo, François",1
379,"Salm, Constance de",1820.0,"Saint-Mars, général vicomte de (Bruder der Schwägerin der CdS)",1
380,"Salm, Constance de",1820.0,"Saint-Cricq, Auguste de (Ehemann von CdS' Nichte Joséphine)",1
381,"Salm, Constance de",1820.0,"Révéroni, Jacques-Antoine, baron de Saint-Cyr",1
382,"Salm, Constance de",1820.0,"Roguet, Pauline, geb. de Ladoucette",1
383,"Salm, Constance de",1820.0,"Riche de Prony, Gaspard, baron",1
384,"Salm, Constance de",1820.0,"Raboteau, Pierre Paul ",1
385,"Salm, Constance de",1820.0,"Sédillot, Jean-Jacques Emmanuel",1
386,"Salm, Constance de",1820.0,"Raboteau, Emélie, verh. Ranson",1
387,"Salm, Constance de",1820.0,"Preußen, Prinz Friedrich von (Neffe Friedrich Wilhelms III.)",1
388,"Salm, Constance de",1820.0,"Paxton, Maria Alecia",1
389,"Salm, Constance de",1820.0,"Paganel, Camille",1
390,"Salm, Constance de",1820.0,"Nicolle, Dominique-Charles, abbé",1
391,"Salm, Constance de",1820.0,"Nees von Esenbeck, Theodor Friedrich Ludwig",1
392,"Salm, Constance de",1820.0,"Simon(s), Monsieur",1
393,"Salm, Constance de",1820.0,"Théis, Joséphine de, verh. Saint-Cricq, gen. Finette",1
394,"Salm, Constance de",1830.0,"Biergans, Joseph Wilhelm (Staatsanwalt in Köln)",1
395,"Salm, Constance de",1830.0,"Audouard, Monsieur",1
396,"Salm, Constance de",1830.0,"Beuchot, Adrien-Jean-Quentin (?)",1
397,"Salm, Constance de",1830.0,"Berr, Madame (Ehefrau von Michel Berr)",1
398,"Salm, Constance de",1830.0,"Becdelièvre, comtesse de",1
399,"Salm, Constance de",1830.0,"Bavier, Monsieur de",1
400,"Salm, Constance de",1830.0,"Bavier, Major de",1
401,"Salm, Constance de",1830.0,"Barbier, Antoine-Alexandre",1
402,"Salm, Constance de",1830.0,"Aubard / Aubart, Monsieur",1
403,"Salm, Constance de",1820.0,"Valant, Joseph-Honoré",1
404,"Salm, Constance de",1830.0,"Arnim-Boitzenburg, Anna Caroline von, geb. von der Schulenburg",1
405,"Salm, Constance de",1830.0,"Allenet (?), Monsieur",1
406,"Salm, Constance de",1820.0,"Wied-Neuwied, Maximilian Alexander Philipp, Prinz zu",1
407,"Salm, Constance de",1820.0,"Wergifosse / Vergifosse, Monsieur (de?)",1
408,"Salm, Constance de",1820.0,"Villenave, Théodore",1
409,"Salm, Constance de",1820.0,"Vernéjoul, Monsieur de",1
410,"Salm, Constance de",1830.0,"Cordellier-Delanoue, Étienne Casimir Hippolyte",1
