;Deutsch;VIAF;GND-Gemeinsame Normdatei;Wikidata;Französisch
113;Französische Revolution;;;https://www.wikidata.org/wiki/Q6534;Révolution française
114;Freimaurerei;;https://d-nb.info/gnd/4018348-8;https://www.wikidata.org/wiki/Q41726;franc-maçonnerie
115;Freundschaft;;;https://www.wikidata.org/wiki/Q491;amitié
116;Gelehrte Gesellschaft;;;;
117;Gesellschaftliches Leben;;;;
118;Gesundheit;;;https://www.wikidata.org/wiki/Q12147;santé
119;Krankheit;;;https://www.wikidata.org/wiki/Q12136;maladie
120;Griechenland - Politik;;;;
121;Industrialisierung;;;https://www.wikidata.org/wiki/Q202398;industrialisation
122;Italien - Politik;;;;
123;Judenfrage;;;https://www.wikidata.org/wiki/Q708764;Question juive
124;Karriere;;;https://www.wikidata.org/wiki/Q282049;carrière
125;Förderung;;;https://www.wikidata.org/wiki/Q60482764;promotion
126;Kindheit;;;https://www.wikidata.org/wiki/Q276258;enfance
127;Krieg;;;https://www.wikidata.org/wiki/Q198;guerre
128;Konflikt;;;https://www.wikidata.org/wiki/Q180684;conflit
129;La Décade philosophique (1794-1807);;;;
130;Landleben;;;https://www.wikidata.org/wiki/Q1803605;Villages
131;Provinzleben;;;;
132;Landwirtschaft;;;https://www.wikidata.org/wiki/Q11451;agriculture
133;Liberalismus;;;https://www.wikidata.org/wiki/Q6216;libéralisme
134;Literarisches Geschehen;;;;
135;Neuerscheinung;;;;
136;Medizin;;;https://www.wikidata.org/wiki/Q11190;médecin
137; Impfung;;;https://www.wikidata.org/wiki/Q192995;vaccination
138;Militär;;;https://www.wikidata.org/wiki/Q47064;militaire
139;Mode;;;https://www.wikidata.org/wiki/Q12684;mode
140;Museum;;;https://www.wikidata.org/wiki/Q33506;musée
141;Musik;;;https://www.wikidata.org/wiki/Q638;musique
142;Nachruf;;;;
143;Nationalismus;;;https://www.wikidata.org/wiki/Q6235'];['nationalisme
144;Naturwissenschaften;;;https://www.wikidata.org/wiki/Q7991;science de la nature
145;Orientalische Frage;;;;
146;Parapsychologie;;;https://www.wikidata.org/wiki/Q179098;parapsychologie
147;Philosophie;;;https://www.wikidata.org/wiki/Q5891;philosophie
148;Plagiat;;;https://www.wikidata.org/wiki/Q164666;plagiat
149;Polen - Politik;;;;
150;Post;;;https://www.wikidata.org/wiki/Q49845;poste
151;Presse;;;https://www.wikidata.org/wiki/Q17172633;presse écrite
152;Pressefreiheit;;;https://www.wikidata.org/wiki/Q22688;liberté de la presse
153;Zensur;;;https://www.wikidata.org/wiki/Q543;censure
154;Pressespiegel;;;;
155;Rezeption;;;https://www.wikidata.org/wiki/Q2147266;réception artistique
156;Prozess;;;https://www.wikidata.org/wiki/Q205663;processus
157;Gericht;;;https://www.wikidata.org/wiki/P4884;tribunal
158;Reise;;;https://www.wikidata.org/wiki/Q61509;voyage
159;Mobilität;;;https://www.wikidata.org/wiki/Q96622169;mobilité
161;Religion;;;https://www.wikidata.org/wiki/Q9174;religion
162;Kirche;;;https://www.wikidata.org/wiki/Q16970;église
163;Romantik;;;https://www.wikidata.org/wiki/Q37068;romantisme
164;Russland - Politik;;;;
165;Salon;;;https://www.wikidata.org/wiki/Q576342;salon littéraire
;;;;;
167;Gesellschaften;;;;
168;Schweiz - Politik;;;;
169;Sozialismus;;;https://www.wikidata.org/wiki/Q7272;socialisme
170;Sozialwissenschaften;;;;
171;Spanien - Politik;;;;
172;Spiel;;;https://www.wikidata.org/wiki/Q11410;jeu
173;Sprachen;;;;
174;Unterricht;;;;
175;Stadtleben;;;;
176;Tanz;;;https://www.wikidata.org/wiki/Q11639;danse
177;Technik;;;https://www.wikidata.org/wiki/Q2695280;technique
178;Fortschritt;;;https://www.wikidata.org/wiki/Q247792;progrès
179;Theater;;;https://www.wikidata.org/wiki/Q11635;théâtre
180;Tier;;;https://www.wikidata.org/wiki/Q729;animal
181;Haustier;;;https://www.wikidata.org/wiki/Q622852;animal domestique
182;Tod;;;https://www.wikidata.org/wiki/Q4;mort
