,Deutsch,VIAF,GND-Gemeinsame Normdatei,Wikidata,Französisch
34,CdS: Éloge historique de M. de Lalande (1810),,,[],[]
35,CdS: Éloge historique de M. J. Sedaine (1797),,,[],[]
36,CdS: Épître à un ami (?),,,[],[]
37,CdS: Épître à un honnête homme (1820),,,[],[]
38,CdS: Épître à un jeune auteur (1806),,,,
39,CdS: Épître à un vieil auteur (1809),,,[],[]
40,CdS: Épître à une mère sur l'éducation de sa fille (1797)?,,,[],[]
41,CdS: Épître adressée à l'Empereur Napoléon (1810),,,[],[]
42,CdS: Épître aux femmes (1797),,,[],[]
43,CdS: Épître aux peuples (Publikationsvorhaben),,,[],[]
44,CdS: Épître aux souverains absolus (1831),,,[],[]
45,CdS: Épître sur la France actuelle,,,,
46,CdS: Épître sur la philosophie (1814),,,[],[]
47,CdS: Épître sur la rime (1812),,,[],[]
48,CdS: Épître sur les inconvénients du séjour de la campagne (1808),,,[],[]
49,CdS: Épître sur l’esprit et l’aveuglement du siècle (1828),,,[],[]
50,CdS: Épîtres à Sophie (1801),,,[],[]
51,"CdS: Frühe Werke, unterschiedliche (vor 1794)",,,[],[]
52,CdS: Je mourrai comme j’ai vécu (1837),,,[],[]
53,CdS: Korrespondenz (Edition),,,[],[]
54,CdS: L'Étude (Jugendwerk),,,[],[]
55,CdS: Lamech et Zelis (Jugendwerk),,,[],[]
56,CdS: Le Kniaz Michel Glinski (1833),,,,
57,CdS: Le temps actuel (Publikationsvorhaben 1842),,,,
58,CdS: Les cinq actes de la vie,,,[],[]
59,CdS: Les droits (unidentifiziert),,,[],[]
60,CdS: Mémoires (Publikationsvorhaben),,,[],[]
61,"CdS: Mes soixante ans, ou Mes souvenirs politiques et littéraires (1833)",,,[],[]
62,CdS: Mon retour en France (1815),,,[],[]
63,CdS: Notice sur la vie et les œuvres de Mentelle (1839),,,[],[]
64,CdS: Ouvrages divers en prose (1835),,,,
65,"CdS: Pensées (1829, 1835, 1846)",,,[],[]
66,"CdS: Poésies (1811, 1817², 1835³)",,,,
67,CdS: Poésies choisies (?),,,[],[]
68,CdS: Rapport sur les fleurs artificielles de la citoyenne Roux-Montagnac (1798),,,[],[]
69,CdS: Rapport sur un ouvrage du Cen. Théremin (1799),,,,
70,CdS: Romances (1798),,,[],[]
71,CdS: Sapho (1794),,,,
72,CdS: Stances sur la mort de Constant (1835),,,[],[]
73,CdS: Stances sur le romantique et la vieille école (1824),,,[],[]
74,CdS: Stances sur le romantique et la vieille école (1924),,,,
75,CdS: Sur Girodet (1825),,,[],[]
76,CdS: Sur la perte des illusions de la jeunesse (1807),,,[],[]
77,CdS: Sur les femmes politiques (1817),,,[],[]
78,CdS: Un regard de l'Amour (Jugendwerk),,,[],[]
79,CdS: Vers à mes amis au moment... (1806),,,[],[]
80,CdS: Vers sur les dissentions des gens de lettres (1797),,,,
81,CdS: Verschiedene Verse (nicht identifiziert),,,[],[]
82,CdS: Vierbändige Werkausgabe (1835,,,,
83,"1836), 2 Prosa- und 2 Poesiebände",,,,
84,CdS: Œuvres complètes (1842),,,[],[]
85,CdS: „Ma dernière Épître politique“ (Publikationsvorhaben um 1839),,,,
86,CdS: „Petite édition“ (um 1834),,,[],[]
87,Cholera,,,,
88,Constance de Salm - Rezeption,,,,
89,Constance de Salm - Vermarktung,,,[],[]
90,Deutschland - Politik,,,[],[]
91,Deutschland - Revolution 1848-1849,,,,
92,Deutschland - Wahrnehmung,,,[],[]
93,Deutschunterricht,,,[],[]
94,Ehe,,,http://www.wikidata.org/entity/Q8445,mariage
95,Liebe,,,https://www.wikidata.org/wiki/Q316,amour
96,Ehrenlegion,,,http://www.wikidata.org/entity/Q163700,ordre national de la Légion d'honneur
97,Emanzipation,,,https://www.wikidata.org/wiki/Q380351,émancipation
98,Frau,,,http://www.wikidata.org/entity/Q467,femme
99,England - Politik,,,[],[]
100,Erdkunde,,,http://www.wikidata.org/entity/Q26690059,Erdkunde
101,Erziehung,,,,https://www.wikidata.org/wiki/Q2353731,instruction
102,Pädagogik,,,http://www.wikidata.org/entity/Q7922,pédagogie
103,Europa - Politik,,,[],[]
104,Familie,,,http://www.wikidata.org/entity/P53,famille
105,Familienrecht,,,http://www.wikidata.org/entity/Q384014,droit de la famille
106,Frankreich - Außenpolitik,,,[],[]
